delo,plača neto,kraj,delovnik,trajanje
DELO V SKLADIŠČU,6.20 €/h neto,MARIBOR,POPOLDAN,PO DOGOVORU
IZDELAVA IN UREJANJE SPLETNE STRANI,6.20 €/h neto,NA DALJAVO / LJUBLJANA,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,8.50 €/h neto,LJUBLJANA CENTER,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
RAZVOZ,7.00 €/h neto,KAMNIK,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA,10.00 €/h neto,SEŽANA,MED VIKENDI,PO DOGOVORU
DELO NA TERENU,7.50 €/h neto,BLED,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
POUČEVANJE,8.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,7.12 €/h neto,POSTOJNA,POPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
FIZIOTERAPIJA,7.00 €/h neto,LJUBLJANA,DOPOLDAN,PO DOGOVORU
LAŽJA FIZIČNA DELA,6.60 €/h neto,LJUBLJANA BTC,DOPOLDAN,POČITNIŠKO DELO
ADMINISTRATIVNA DELA,7.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
POUČEVANJE,PO DOGOVORU,LJUBLJANA,PO DOGOVORU,PO DOGOVORU
POMOČ V KUHINJI,8.00 €/h neto,LJUBLJANA,PO DOGOVORU,PO DOGOVORU
POMOČ PRI PRODAJI,6.20 €/h neto,ROGAŠKA SLATINA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
RAZVOZ,7.50 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
ADMINISTRATIVNA DELA,9.00 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
STROKOVNO DELO,8.17 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
BLAGAJNIK,6.20 €/h neto,DOKLEŽOVJE ALI TUROPOLJE,PO DOGOVORU,POČITNIŠKO DELO
DELO V FITNESU,6.71 €/h neto,PORTOROŽ,PO DOGOVORU,PO DOGOVORU
PROGRAMIRANJE,8.50 €/h neto,POSTOJNA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO V VELNESU,6.88 €/h neto,PORTOROŽ,DOPOLDAN,PO DOGOVORU
PAKIRANJE,8.00 €/h neto,"HRPELJE, KOZINA",DOPOLDAN,DO 23. 8. 2024
DELO V PROIZVODNJI,7.31 €/h neto,KRŠKO,PO DOGOVORU,PO DOGOVORU
DELO V PROIZVODNJI,7.14 €/h neto,ŠENTJUR,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ PRI PRODAJI,6.20 €/h neto,LJUBLJANA,POPOLDAN,"09. 08., 16. 08., 23. 08. IN 30. 08. "
DELO NA BENCINSKEM SERVISU,7.00 €/h neto,TREBNJE,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
MARKETING,7.50 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA TERENU,6.88 €/h neto,LJUBLJANA,DOPOLDAN,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELO NA RECEPCIJI,6.20 €/h neto,LJUBLJANA,IZMENSKO,DLJE ČASA (ZAČ. IN OBČ. DELO)
POMOČ V STREŽBI,8.01 €/h neto,TREBNJE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
STREŽBA HRANE IN PIJAČE,PO DOGOVORU,LESCE,PO DOGOVORU,DLJE ČASA (ZAČ. IN OBČ. DELO)
DELJENJE LETAKOV,7.15 €/h neto,MURSKA SOBOTA-PINCE,MED VIKENDI,"SOBOTA, 17. 8. 2024"
